Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave color,slave status,Location,Location City,Ad Transcription,Observations,,,,,,,,,,,,
11,Jornal do Commercio,1,4,http://memoria.bn.br/DocReader/364568_03/4,2-Jan-1840,venda,oferecendo serviço / procurando serviço,1,,,,,"pajem, ofício",,,M,16,,escravo,"Rua do Piolho, 40",,"VENDE-SE, para hum pagamento, hum bonito moleque de 16 a 17 annos, proprio para pagem ou officio, e outro ditto de 13 annos, com principio de alfaiate; na rua do Piolho n.40.",,,,,,,,,,,,,
12,Jornal do Commercio,1,4,http://memoria.bn.br/DocReader/364568_03/4,2-Jan-1840,venda,oferecendo serviço,1,,,,,serviços domésticos,,,M,,preto,escravo,"Rua do Ouvidor, 131",,"VENDE-SE hum preto para o serviço de huma casa, são e sem vicios; na rua do Ouvidor n. 131.",,,,,,,,,,,,,
13,Jornal do Commercio,1,3,http://memoria.bn.br/docreader/364568_03/3,2-Jan-1840,venda,oferecendo serviço / procurando serviço,1,,,,,marinheiro de governo,,,M,16,,escravo,"Rua Nova do Livramento, 23",,"VENDE-SE, na rua novado Livramento n. 23, dous molecoes de 16 a 20 annos de idade, hum he peritimo cozinheiro de forno e fogão, e tambem entende de massas, e o outro he peritimo marinheiro de governo, cose pannos, tem navegado para todos os portos: a razão de sua venda se dirá ao comprador.",,,,,,,,,,,,,
14,Jornal do Commercio,1,4,http://memoria.bn.br/docreader/364568_03/4,2-Jan-1840,venda,oferecendo serviço / procurando serviço,1,,,,,alfaiate,,,M,13,,escravo,"Rua do Piolho, 40",,"VENDE-SE, para hum pagamento, hum bonito moleque de 16 a 17 annos, proprio para pagem ou officio, e outro ditto de 13 annos, com principio de alfaiate; na rua do Piolho n.40.",,,,,,,,,,,,,
15,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,aluguel,oferecendo serviço,1,,,,,ama de leite,,,F,,parda,forra,"Rua Nova de São Bento, 33",,"ALUGA-SE huma parda forra, boa ama de leite; na rua nova de S. Bento n. 33.",,,,,,,,,,,,,
16,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,aluguel,oferecendo serviço,1,,,,,"lavadeira, cozinheira",,,F,,preta,escrava,"Largo do Paço, 8",,"ALUGA-SE huma preta muito boa lavadeira e cozinheira, e mui socegada, no largo do Paço, n. 8, 2º andar.",,,,,,,,,,,,,
17,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,fuga,,1,,,,,oficial de serrador,Manoel,Angola,M,,preto,escravo,"Rua do Carmo, 43",,"Fugio, no dia 1º de janeiro de 1840, da rua do Carmo n. 43, loja de couros, hum preto molecote, de nome Manoel, nação Angola, he official de surrador, e tem calos nas mãos de trabalhar pelo officio; he baixo, grosso e não tem barba;quem o apprehender e o levar à dita casa receberá 12$000 réis de gratificação, ou ainda maior quantia, conforme o lugar onde elle for encontrado.",,,,,,,,,,,,,
18,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,fuga,,1,,,Patricio Ricardo Freire,M,,Antonio,Reboulo,M,,preto,escravo,"Rua dos Ourives, 85",,"DESAPPARECEU, no dia 31 de dezembro de 1839, hum preto de nome Antonio, escravo de Patricio Ricardo Freire, morador na rua dos Ourives n. 85, tendoos signaes seguintes: altura ordinária, reforçado do corpo, rosto liso, pouca barba, e os escrotos alguma cousa inchados; sahio com calça branca e jaqueta de chita com ramos desbotados, e he de nação Reboulo.",,,,,,,,,,,,,
19,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,fuga,,1,,,,,,Generozo,,M,,pardo claro,escravo,"Rua do Sabão, 33",,"FUGIO, no 1º do corrente anno, hum pardo claro por nome Generozo, estatura alto, magro, de cabello crespo, e com algumas sardas pela cara; levou calças de ganga azul e chapéo preto de palhinha fina: quem o pegar e levar a rua do Sabão, n. 33, terá boas alviçaras.",,,,,,,,,,,,,
20,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,fuga,,1,,,,,,Manoel,,M,,,escravo,"Rua do Sabão, 128",,"Fugio, da rua do Sabão n. 128, hum moleque de nome Manoel, com pequenos signaes no rosto; levou camisa de riscado azul e calça tambem de riscado já desbotado: quem o apprehender pode leva-lo à dita rua, que de sua senhora receberá alviçaras.",,,,,,,,,,,,,
21,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,venda,oferecendo serviço,1,,,,,alfaiate,,,M,,pardo,escravo,"Rua de São Pedro, 91",,"VENDEM-SE dous pardos, sendo hum alfaiate de cortar e fazer toda a obra miuda; e o outro he boleeiro, mocambo que aprompta e serve a mesa, engomma toda a roupa e cose de alfaiate; na rua de S. Pedro n. 91.",,,,,,,,,,,,,
22,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,venda,oferecendo serviço,1,,,,,"barbeiro, sangrador",,,M,,preto,escravo,"Rua de São Pedro, 91",,"VENDEM-SE hum preto mestre barbairo e sangrador, e hum pardo perfeito pagem, laça e sabe tratar de animaes; na rua de S. Pedro n.91.",,,,,,,,,,,,,
23,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,venda,oferecendo serviço,1,,,,,"costureira, cozinheira, lavadeira",,Nação,F,,negra,escrava,"Rua Estreita de S. Joaquim, 71",,"VENDE-SE huma negrinha de nação, tendo principios de costura, cozinhar e lavar; dirigir-se à rua estreita de S. Joaquim n. 71.",,,,,,,,,,,,,
24,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,venda,oferecendo serviço,1,,,,,marinheiro de governo,,,M,,preto,escravo,,,"VENDE-SE hum preto marinheiro de governo; para o ajuste e exame, dirigir-se a bordo do patacho Vatente.",,,,,,,,,,,,,
25,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,venda,oferecendo serviço,1,,,,,"mascate de fazenda, alfaiate",,,M,,,escravo,"Rua da Vala, 89",,"VENDE-SE, na rua da Valla n. 89, hum moleque mascate de fazendas e com principio de alfaiate.",,,,,,,,,,,,,
26,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,venda,oferecendo serviço,1,,,,,"mocamba, costureira, lavadeira, cozinheira",,,F,,preta,escrava,"Rua do Hospício, 280",,"VENDE-SE, na rua do Hospício n. 280, huma preta perfeita mocamba, que cose e corta vestidos e camizas de homem, engomma, lavae cozinha o ordinario de huma casa: que a pretender dirija-se ao n. acima.",,,,,,,,,,,,,
27,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,venda,oferecendo serviço,2,,,,,"mocambas, costureiras, engomadeiras, lavadeiras",,,F,13 e 16,negras,escravas,"Rua da Cadeia, 68",,"VENDEM-SE duas lindas negrinhas, sendo huma de 16 e outra de 13 annos, as quaes já cosem, engommao e lavao, proprias para mocambas; na rua da Cadêa n. 68.",,,,,,,,,,,,,
28,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,venda,oferecendo serviço,1,,,,,"ofício, pajem",,,M,15,,escravo,"Rua dos Ourives, 17",,"VENDE-SE hum lindo moleque de 15 a 16 annos, proprio para officio ou pagem; na rua dos Ourives n. 17. ",,,,,,,,,,,,,
29,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,venda,oferecendo serviço,>1,,,Frederico Guilherme,M,,,,M/F,,,escravos,"Rua do Ouvidor, 84",,"FREDERICO GUILHERME fará leilão, amanhãa sabbado, na sua casa, na rua do Ouvidor n. 84, de huma grande porção de escravos de ambos os sexos, com varios officios, pretos e pretas de roça, os quaes serão arrematados a que mais offerecer, com CONDIÇÃO de perfeita saude e fiança de boas vendas.",,,,,,,,,,,,,
30,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,venda,oferecendo serviço,>1,,,J. Bouis,M,,,,M/F,,,escravos,"Rua do Ouvidor, 90",,"J.BOUIS faz leilão hoje, em sua casa, rua do Ouvidor n. 90, de huma grande porção de escravos de ambos os sexos, constando de pretos de roça, pagens, bolceiros, alfaiates, mocambas, engommadeiras, costureiras, hum preto perito serrador e falquejador, hum dito bom cozinheiro de forno e fogão, e hum outro perfeito marinheiro de governo.",,,,,,,,,,,,,
31,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,venda,oferecendo serviço,1,,,,,"boleeiro, mocambo, engomador, alfaiate",,,M,,pardo,escravo,"Rua de São Pedro, 91",,"VENDEM-SE dous pardos, sendo hum alfaiate de cortar e fazer toda a obra miuda; e o outro he boleeiro, mocambo que aprompta e serve a mesa, engomma toda a roupa e cose de alfaiate; na rua de S. Pedro n. 91.",,,,,,,,,,,,,
32,Jornal do Commercio,2,4,http://memoria.bn.br/docreader/364568_03/8,3-Jan-1840,venda,oferecendo serviço,1,,,,,pajem,,,M,,pardo,escravo,"Rua de São Pedro, 91",,"VENDEM-SE hum preto mestre barbairo e sangrador, e hum pardo perfeito pagem, laça e sabe tratar de animaes; na rua de S. Pedro n.91.",,,,,,,,,,,,,
33,Jornal do Commercio,3,4,http://memoria.bn.br/docreader/364568_03/12,4-Jan-1840,aluguel,procurando serviço,1,,,,,ama de leite,,,F,,,escrava,"Ruda do Conde, 45",,"PRECISA-SE alugar huma boa ama de leite, não se duvidando pagar bem; na rua do Conde n. 35. Prefere-se sendo forra.",,,,,,,,,,,,,
34,Jornal do Commercio,3,4,http://memoria.bn.br/docreader/364568_03/12,4-Jan-1840,aluguel,oferecendo serviço,1,,,,,"ama de leite, lavadeira, engomadeira, serviços domésticos",,Crioula,F,17,,escrava,"Rua de Matacavalos, 13",,"ALUGA-SE huma excellente ama, por ser rapariga de 17 annos de idade, crioula, primeiro parto, leite de 9 mezes, limpa, robusta e sadia; sabendo bem lavar e engommar liso, e todo o mais serviço proprio para o fim a que se destina: quem a pretender procurena rua de Matacavallos n. 13, de manhã até as 8 1/2 horas, e de tarde das 4 horas em diante.",,,,,,,,,,,,,
35,Jornal do Commercio,3,4,http://memoria.bn.br/docreader/364568_03/12,4-Jan-1840,aluguel,procurando serviço,1,,,,,costureira,,,F,,preta,escrava,"Rua da Quitanda, 50",,"PRECISA-SE alugar huma preta que saiba bem coser, na rua da Quitanda n. 50.",,,,,,,,,,,,,
36,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,aluguel,procurando serviço,1,,,,,cozinheiro,,,M,,preto,escravo,"Rua de São Pedro, 30",,"NA RUA de S. Pedro, n. 30, precisa-se alugar hum preto cozinheiro, que seja bom, e de boa conducta; quem o tiver para alugar dirija-se ao n. acima.",,,,,,,,,,,,,
37,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,aluguel,oferecendo serviço,1,,,,,"lavadeira, engomadeira, costureira, cozinheira",,Crioula,F,,preta,forra,"Rua do Sabão, 191",,"DESEJA se alugar huma preta crioula, forra, que sabe lavar, engomma, coser e cozinhar, e o mais arranjo necessário; quem a pretender dirija-se à rua do Sabão, n. 191.",,,,,,,,,,,,,
38,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,aluguel,oferecendo serviço,1,,,,,"mocamba, costureira, engomadeira",,,F,,preta,escrava,"Rua da Prainha, 90",,"ALUGA-SE huma preta mocamba recolhida, que cose, engomma, ensaboa e faz todo o mais serviço de huma boa mocamba; na rua da Prainha n. 90.",,,,,,,,,,,,,
39,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,aluguel,oferecendo serviço,1,,,,,mocambo,,,M,,,escravo,"Rua de S. José, 33",,ALUGA-SE hum moleque perfeito mocambo; na rua de S. José n. 33.,,,,,,,,,,,,,
40,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,aluguel,oferecendo serviço,1,,,,,,,,F,,negra,escrava,"Rua da Lampadoza, 30",,ALUGA-SE huma negrinha propria para estar com huma criança; rua da Lampadoza n. 30.,,,,,,,,,,,,,
41,Jornal do Commercio,3,4,http://memoria.bn.br/docreader/364568_03/12,4-Jan-1840,aluguel,procurando serviço,1,,,,,,,,M,,preto,escravo,"Rua da Quitanda, 12",,PRECISA-SE alugar hum preto para todo o serviço; na rua da Quitanda n. 12.,,,,,,,,,,,,,
42,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,aluguel/venda,oferecendo serviço,1,,,,,cortador de carne,,,M,,preto,escravo,"Travessa do Guindaste, 9",,"ALUGA-SE ou vende-se hum preto bom cortador de carne, proprio para qualquer pessoa que tenha açougue, sendo de boa conducta; seu preço será razoavel, na Travessa do Guindaste n. 9, Praia de D. Manoel.",,,,,,,,,,,,,
43,Jornal do Commercio,3,4,http://memoria.bn.br/docreader/364568_03/12,4-Jan-1840,fuga,,1,,,,,,Joaquim,Reboulo,M,,preto,escravo,"Rua dos Pescadores, 74",,"Fugio, no dia 27 do mez passado, hum preto chamado Joaquim, de nação Rebolo, idade 20 a 30 annos, cara sobre-comprida e cheia, olhos grandes e esgateados, nariz regular e chato, boca pequena e beiços grossos; fulo, com signaes de queimadura de alcatrão em ambos os pés, e com calças de riscado. Quem o apprehender ou delle der noticia na rua dos Pescadores n. 74, será gratificado.",,,,,,,,,,,,,
44,Jornal do Commercio,3,4,http://memoria.bn.br/docreader/364568_03/12,4-Jan-1840,venda,oferecendo serviço,1,,,,,"costureira, serviços domésticos",,,F,,,escrava,"Rua de D. Manoel, 38 A",,"VENDEM-SE dous bons pretos de roça em todo o sentido, hum moleque de 14 annos, proprio para officio ou pagem, e huma linda moleca de 13 annos, que já cose muito bem e faz todo o serviço de huma casa; na rua de D. Manoel n. 38 A., ou em cima do sobrado.",,,,,,,,,,,,,
45,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,venda,oferecendo serviço,1,,,,,"cozinheira, doceira, engomadeira, rendeira, costureira",,,F,,parda,escrava,"Rua do Piolho, 35",,"VENDE-SE huma parda de meia idade, propria para o governo de huma casa, a qual sabe cozinhar deforno, fogão e massas, faz doces de quasi todas as qualidades, engomma, faz renda e cose; na rua do Piolho n.35. ",,,,,,,,,,,,,
46,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,venda,oferecendo serviço,1,,,,,cozinheiro,,,M,18,preto,escravo,"Rua do Carmo, 41",,"VENDE-SE, na rua do Carmo, n. 41, hum preto de 18 annos d'idade, bem parecido e bom cozinheiro: ha mais dous moleques bonitos, hum tem 16 annos d'idade, e outro 12.",,,,,,,,,,,,,
47,Jornal do Commercio,3,4,http://memoria.bn.br/docreader/364568_03/12,4-Jan-1840,venda,oferecendo serviço,1,,,,,cozinheiro,,,M,,preto,escravo,"Rua do Rosário, 107",,"VENDE-SE huma perita mocamba que corta e faz huma camisa de homem com toda a perfeição, e engomma; hum preto cozinheiro do trivial; na rua do Rosário n. 107.",,,,,,,,,,,,,
48,Jornal do Commercio,3,4,http://memoria.bn.br/docreader/364568_03/12,4-Jan-1840,venda,oferecendo serviço,1,,,,,"lavadeira, engomadeira, cozinheira",,,F,,negra,escrava,"Rua das Flores, 46",,VENDE-SE huma negra que sabe lavar e engommar com perfeição e também cozinha; rua das Flores n. 46.,,,,,,,,,,,,,
49,Jornal do Commercio,3,4,http://memoria.bn.br/docreader/364568_03/12,4-Jan-1840,venda,oferecendo serviço,1,,,,,"mocamba, costureira, engomadeira",,,F,,,escrava,"Rua do Rosário, 107",,"VENDE-SE huma perita mocamba que corta e faz huma camisa de homem com toda a perfeição, e engomma; hum preto cozinheiro do trivial; na rua do Rosário n. 107.",,,,,,,,,,,,,
50,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,venda,oferecendo serviço,1,,,,,"mocamba, costureira, engomadeira, lavadeira",,,F,16,,escrava,"Rua da Cadeia, 16",,"VENDE-SE, por motivos particulares, huma mocamba de 16 annos, de boa figura, que corta e faz camisas com perfeiçao, lava, engomma, veste, prega e pentêa uma senhora; e he propria para casa de familia por ser humilde e não ter vicios, e não se duvida dar a contento; na rua da Cadêa n. 16, sobrado.",,,,,,,,,,,,,
51,Jornal do Commercio,3,4,http://memoria.bn.br/docreader/364568_03/12,4-Jan-1840,venda,oferecendo serviço,2,,,,,roça,,,M,,pretos,escravos,"Rua de D. Manoel, 38 A",,"VENDEM-SE dous bons pretos de roça em todo o sentido, hum moleque de 14 annos, proprio para officio ou pagem, e huma linda moleca de 13 annos, que já cose muito bem e faz todo o serviço de huma casa; na rua de D. Manoel n. 38 A., ou em cima do sobrado.",,,,,,,,,,,,,
52,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,venda,oferecendo serviço,>1,,,Frederico Guilherme,M,,,,M/F,,,escravos,"Rua do Ouvidor, 84",,"FREDERICO GUILHERME faz leilão hoje, às 11 horas, na sua casa, rua do Ouvidor n. 84, de huma grande porção de escravos de ambos os sexos, com varios officios e de roça, entre os quaes ha hum preto moço, corpulento, famoso mestre cozinheiro de forno e fogão, faz massas, doces pudins, crême, etc., e he muito diligente; lavadeiras, cozinhas, mocambas, e muitos outros, os quaes serao arrematados com condição de perfeita saude e fiança de boas vendas. ",,,,,,,,,,,,,
53,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,venda,oferecendo serviço,1,,,,,,,,M,16,,escravo,"Rua de D. Manoel, 56",,"VENDE-SE, na rua de D. Manoel, n. 56, hum molecote de 16 annos d'idade, bom para todo o serviço.",,,,,,,,,,,,,
54,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,venda,oferecendo serviço,1,,,,,,,,F,,preta,escrava,"Beco das Cancelas, 5",,"VENDE-SE huma linda preta, de bonita figura, por se precisar de huma ama de leite, no beco das Cancellas, n. 5, 1º andar.",,,,,,,,,,,,,
55,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,venda,oferecendo serviço,3,,,,,,,,M,12-16,,escravos,"Rua do Carmo, 41",,"VENDE-SE, na rua do Carmo, n. 41, hum preto de 18 annos d'idade, bem parecido e bom cozinheiro: ha mais dous moleques bonitos, hum tem 16 annos d'idade, e outro 12.",,,,,,,,,,,,,
56,Jornal do Commercio,3,4,http://memoria.bn.br/docreader/364568_03/12,4-Jan-1840,venda,oferecendo serviço,1,,,,,,,,F,,preta,escrava,"Rua da Vala, 89",,"VENDE-SE, na rua da Valla n. 89, huma linda preta, rapariga, mocamba, com habilidades.",,,,,,,,,,,,,
57,Jornal do Commercio,3,4,http://memoria.bn.br/docreader/364568_03/12,4-Jan-1840,venda,oferecendo serviço,1,,,,,pajem ou ofício,,,M,14,,escravo,"Rua de D. Manoel, 38 A",,"VENDEM-SE dous bons pretos de roça em todo o sentido, hum moleque de 14 annos, proprio para officio ou pagem, e huma linda moleca de 13 annos, que já cose muito bem e faz todo o serviço de huma casa; na rua de D. Manoel n. 38 A., ou em cima do sobrado.",,,,,,,,,,,,,
58,Jornal do Commercio,3,3,http://memoria.bn.br/docreader/364568_03/11,4-Jan-1840,venda ,oferecendo serviço,1,,,,,"copeiro, carroceiro, ",,,M,,,escravo,"Rua da Cadeia, 27",,"VENDE-SE hum vistoso moleque, copeiro, carroceiro, e proprio para todo o serviço, de huma pessoa que se retira; na rua da Cadêa, n. 27.",,,,,,,,,,,,,
59,Jornal do Commercio,5,4,http://memoria.bn.br/docreader/364568_03/20,7-Jan-1840,aluguel,oferecendo serviço,1,,,,,"ama de leite, lavadeira, engomadeira",,Crioula,F,,,escrava,"Rua de Matacavalos, 13",,"ALUGA-SE huma excellente ama, crioula, de 17 annos de idade, com leite de 9 mezes, do primeiro parto, limpa, robusta e sadia; sabendo bem lavar e engommar liso, e todo o mais serviço proprio para o fim a que se destina: procure-se na rua de Matacavallos n. 13, de manhã até as 8 1/2 horas, e de tarde das 4 horas em diante.",,,,,,,,,,,,,
60,Jornal do Commercio,5,3,http://memoria.bn.br/docreader/364568_03/19,7-Jan-1840,aluguel,oferecendo serviço,1,,,,,"ama de leite, mocamba",,,F,,,escrava,"Cosme Velho, 42",,"ALUGA-SE huma boa ama de leite, mocamba recolhida, com bom leite e prendas, na chacara n. 42 do Cosme Velho.",,,,,,,,,,,,,
61,Jornal do Commercio,5,3,http://memoria.bn.br/docreader/364568_03/19,7-Jan-1840,aluguel,procurando serviço,1,,,,,"cozinheira, engomadeira",,,F,,preta,escrava,"Rua do Ouvidor, 41",,PRECISA-SE alugar huma preta que saiba bem cozinhar e engommar; quem a tiver dirija-se á rua do Ouvidor n. 41.,,,,,,,,,,,,,
62,Jornal do Commercio,5,3,http://memoria.bn.br/docreader/364568_03/19,7-Jan-1840,aluguel,procurando serviço,1,,,,,"cozinheira, serviços domésticos",,,F,,preta,escrava,"Rua do Ouvidor, 118",,"PRECISA-SE alugar huma preta de meia idade, que saiba bem cozinhar e entenda do arranjo de huma casa; na rua do Ouvidor n. 118.",,,,,,,,,,,,,
63,Jornal do Commercio,5,3,http://memoria.bn.br/docreader/364568_03/19,7-Jan-1840,aluguel,oferecendo serviço,1,,,,,cozinheiro,,,M,,,escravo,"Rua do Conde, 18",,ALUGA-SE hum perfeitissimo cozinheiro de forno e fogão; na rua do Conde n. 18.,,,,,,,,,,,,,
64,Jornal do Commercio,5,3,http://memoria.bn.br/docreader/364568_03/19,7-Jan-1840,aluguel,procurando serviço,1,,,,,tanoeiro,,,M,,preto,escravo,"Rua da Quitanda, 112",,"ALUGA-SE hum preto tanoeiro, bem como outros para todo o serviço; na rua da Quitanda n. 112.",,,,,,,,,,,,,
65,Jornal do Commercio,5,3,http://memoria.bn.br/docreader/364568_03/19,7-Jan-1840,aluguel,procurando serviço,>1,,,,,,,,M/F,,,escravos,"Rua da Cadeia, 54",,"PRECISA-SE alugar, na rua da Cadêa, sobrado n. 54, escravas e escravos de todo o serviço, pagando-se sempre adiantado.",,,,,,,,,,,,,
66,Jornal do Commercio,5,4,http://memoria.bn.br/docreader/364568_03/20,7-Jan-1840,aluguel,procurando serviço,1,,,,,,,,M,,preto,escravo,"Rua da Quintada, 12",,PRECISA-SE hum preto para todo o serviço; na rua da Quitanda n. 12.,,,,,,,,,,,,,
